,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
29,Chris Sabin,"January 14, 2007",154,,,,Final Resolution,"Orlando, FL",27,This was a 3-Way Dance also involving Jerry Lynn.,IMPACT,[30],4,X_Division_Championship,,
30,Jay Lethal,"June 17, 2007",2,,,,Slammiversary,"Nashville, TN",28,,IMPACT,[31],1,X_Division_Championship,,
31,Samoa Joe,"June 19, 2007",54,,,,Impact!,"Orlando, FL",29,"The episode aired on tape delay on June 21, 2007.",IMPACT,[32],3,X_Division_Championship,,
32,Kurt Angle,"August 12, 2007",28,,,,Hard Justice,"Orlando, FL",30,"This match was also for Angle's TNA World Heavyweight and IGF's version of the IWGP Heavyweight Championship, as well as for Joe's TNA World Tag Team Championship. Angle became the first person to hold all of TNA's active championships at the same time.",IMPACT,[33],1,X_Division_Championship,,
33,Jay Lethal,"September 9, 2007",134,,,,No Surrender,"Orlando, FL",31,,IMPACT,[34],2,X_Division_Championship,,
34,Johnny Devine,"January 21, 2008",20,,,,Impact!,"Orlando, FL",32,"The episode aired on tape delay on January 24, 2008.",IMPACT,[35],1,X_Division_Championship,,
35,Jay Lethal,"February 10, 2008",65,,,,Against All Odds,"Greenville, SC",33,"This was a six-man tag team Street Fight pitting Lethal and The Motor City Machine Guns (Alex Shelley and Chris Sabin) against Johnny Devine and Team 3D (Brother Ray and Brother Devon), in which the person to get the fall would win the championship.",IMPACT,[36],3,X_Division_Championship,,
36,Petey Williams,"April 15, 2008",152,,,,Impact!,"Orlando, FL",34,"Williams invoked his Feast or Fired championship opportunity to challenge Jay Lethal for the championship and win the title. The episode aired on tape delay on April 17, 2008.",IMPACT,[37],2,X_Division_Championship,,
37,Sheik Abdul Bashir,"September 14, 2008",84,,,,No Surrender,"Oshawa, ON",35,This was a 3-Way Dance also involving Consequences Creed.,IMPACT,[38],1,X_Division_Championship,,
38,Eric Young,"December 7, 2008",<1,,,,Final Resolution,"Orlando, FL",36,,IMPACT,[39],1,X_Division_Championship,,
39,Vacated,"December 7, 2008",—,,,,Final Resolution,"Orlando, FL",—,Management Director Jim Cornette stripped Eric Young of the championship because his win was controversial.,IMPACT,[39],—,X_Division_Championship,,
40,Alex Shelley,"January 11, 2009",63,,,,Genesis,"Charlotte, NC",37,Defeated Chris Sabin in a tournament final to win the vacant championship.,IMPACT,[40],1,X_Division_Championship,,
41,Suicide(Christopher Daniels/Kazarian),"March 15, 2009",102,,,,Destination X,"Orlando, FL",38,"This was an Ultimate X match also involving Chris Sabin, Consequences Creed and Jay Lethal. Christopher Daniels was under the mask as Suicide for championship win and Frankie Kazarian returned from injury and resumed the character from May 14, 2009. This was the first reign for the Suicide/Manik character, the fourth for Christopher Daniels and the third for Kazarian.",IMPACT,[41][42],"1(4, 3)[1]",X_Division_Championship,,
42,Homicide,"June 25, 2009",52,,,,Impact!,"Orlando, FL",39,"Homicide invoked his Feast or Fired championship opportunity to challenge Suicide for the championship and win the championship. This episode aired on tape delay on July 16, 2009.",IMPACT,[43][44],1,X_Division_Championship,,
43,Samoa Joe,"August 16, 2009",50,,,,Hard Justice,"Orlando, FL",40,,IMPACT,[45],4,X_Division_Championship,,
44,Amazing Red,"October 5, 2009",106,,,,Impact!,"Orlando, FL",41,"This episode aired on tape delay on October 8, 2009.",IMPACT,[46][47],2,X_Division_Championship,,
45,Douglas Williams,"January 19, 2010",89,,,,Impact!,"Orlando, FL",42,"Williams invoked Rob Terry's Feast or Fired championship opportunity to challenge Amazing Red for the championship. This episode aired on tape delay on January 28, 2010.",IMPACT,[48][49],1,X_Division_Championship,,
46,Vacated,"April 18, 2010",—,,,,Lockdown,"St. Charles, MO",—,Douglas Williams was stripped of the championship after not being able to the defend it due to travel restrictions in the aftermath of Icelandic volcanic eruptions.,IMPACT,[50],—,X_Division_Championship,,
47,Kazarian,"April 18, 2010",28,,,,Lockdown,"St. Charles, MO",43,Kazarian defeated Homicide and Shannon Moore in a steel cage match to win the vacant championship.,IMPACT,[50],4,X_Division_Championship,,
48,Douglas Williams,"May 16, 2010",113,,,,Sacrifice,"Orlando, FL",44,,IMPACT,[51],2,X_Division_Championship,,
49,Jay Lethal,"September 6, 2010",17,,,,Impact!,"Orlando, FL",45,"This episode aired on tape delay on September 16, 2010.",IMPACT,[52][53],4,X_Division_Championship,,
50,Amazing Red,"September 23, 2010",2,,,,Live event,"New York, NY",46,,IMPACT,[54],3,X_Division_Championship,,
51,Jay Lethal,"September 25, 2010",43,,,,Live event,"Rahway, NJ",47,,IMPACT,[55],5,X_Division_Championship,,
52,Robbie E,"November 7, 2010",30,,,,Turning Point,"Orlando, FL",48,,IMPACT,[56],1,X_Division_Championship,,
53,Jay Lethal,"December 7, 2010",33,,,,Impact!,"Orlando, FL",49,"This episode aired on tape delay on December 16, 2010.",IMPACT,[57][58],6,X_Division_Championship,,
54,Kazarian,"January 9, 2011",127,,,,Genesis,"Orlando, FL",50,,IMPACT,[59],5,X_Division_Championship,,
55,Abyss,"May 16, 2011",55,,,,Impact,"Orlando, FL",51,"This episode aired on tape delay on May 19, 2011.",IMPACT,[60][61],1,X_Division_Championship,,
56,Brian Kendrick,"July 10, 2011",63,,,,Destination X,"Orlando, FL",52,,IMPACT,[62],1,X_Division_Championship,,
57,Austin Aries,"September 11, 2011",301,,,,No Surrender,"Orlando, FL",53,,IMPACT,[63],1,X_Division_Championship,,
58,Vacated,"July 8, 2012",—,,,,Destination X,"Orlando, FL",—,Austin Aries invoked Option C and vacated the championship in exchange for an opportunity to wrestle for the TNA World Heavyweight Championship.,IMPACT,[64],—,X_Division_Championship,,
59,Zema Ion,"July 8, 2012",98,,,,Destination X,"Orlando, FL",54,"This was an Ultimate X match, also involving Kenny King, Mason Andrews and Sonjay Dutt.",IMPACT,[65],1,X_Division_Championship,,
60,Rob Van Dam,"October 14, 2012",137,,,,Bound for Glory,"Phoenix, AZ",55,,IMPACT,[66],1,X_Division_Championship,,
61,Kenny King,"February 28, 2013",94,,,,Impact,"Orlando, FL",56,King's X Division membership was also on the line.,IMPACT,[67],1,X_Division_Championship,,
62,Chris Sabin,"June 2, 2013",18,,,,Slammiversary XI,"Boston, MA",57,This was an Ultimate X match also involving Suicide.,IMPACT,[68],5,X_Division_Championship,,
63,Austin Aries,"June 20, 2013",9,,,,Impact,"Peoria, IL",58,"Aries dressed himself as Suicide and took his place in a three-way match also involving Kenny King. This episode aired on tape delay on June 27, 2013.",IMPACT,[69],2,X_Division_Championship,,
64,Chris Sabin,"June 29, 2013",<1,,,,Impact,"Las Vegas, NV",59,"This was a three-way match also involving Manik. Aired on tape delay on July 4, 2013.",IMPACT,,6,X_Division_Championship,,
65,Vacated,"June 29, 2013",—,,,,Impact,"Las Vegas, NV",—,"Chris Sabin invoked Option C and vacated the championship in exchange for an opportunity to wrestle for the TNA World Heavyweight Championship. This episode aired on tape delay on July 11, 2013.",IMPACT,,—,X_Division_Championship,,
66,Manik(T.J. Perkins),"July 18, 2013",94,,,,Impact,"Louisville, KY",60,"This was an Ultimate X match also involving Greg Marasciulo and Sonjay Dutt. This was the second reign for the Suicide/Manik character and the first reign for T.J. Perkins. This episode aired on tape delay on July 25, 2013.",IMPACT,[70],2(1),X_Division_Championship,,
67,Chris Sabin,"October 20, 2013",34,,,,Bound for Glory,"San Diego, CA",61,"This was an Ultimate X match also involving Austin Aries, Jeff Hardy and Samoa Joe.",IMPACT,,7,X_Division_Championship,,
68,Austin Aries,"November 23, 2013",12,,,,Impact,"Orlando, FL",62,"This episode aired on tape delay on December 12, 2013.",IMPACT,,3,X_Division_Championship,,
69,Chris Sabin,"December 5, 2013",42,,,,Impact,"Orlando, FL",63,"This episode aired on tape delay on January 2, 2014.",IMPACT,,8,X_Division_Championship,,
70,Austin Aries,"January 16, 2014",45,,,,Impact: Genesis,"Huntsville, AL",64,"This episode aired on tape delay on January 23, 2014.",IMPACT,,4,X_Division_Championship,,
71,Sanada,"March 2, 2014",110,,,,Kaisen: Outbreak,"Tokyo, Japan",65,,IMPACT,[71],1,X_Division_Championship,,
72,Austin Aries,"June 20, 2014",5,,,,Impact,"Bethlehem, PA",66,"This episode aired on tape delay on July 10, 2014.",IMPACT,,5,X_Division_Championship,,
73,Vacated,"June 25, 2014",—,,,,Impact,"New York, NY",—,"Austin Aries vacated the championship in exchange for an opportunity to wrestle for the TNA World Heavyweight Championship. This episode aired on tape delay on July 24, 2014.",IMPACT,,—,X_Division_Championship,,
74,Samoa Joe,"June 26, 2014",85,,,,Impact,"New York, NY",67,"Defeated Low Ki and Sanada in a three-way match to win the vacant championship. This episode aired on tape delay on August 7, 2014.",IMPACT,,5,X_Division_Championship,,
75,Vacated,"September 19, 2014",—,,,,Impact,"Bethlehem, PA",—,"Samoa Joe vacated the championship due to not being medically cleared to compete. This episode aired on tape delay on November 12, 2014.",IMPACT,,—,X_Division_Championship,,
76,Low Ki,"September 19, 2014",110,,,,Impact,"Bethlehem, PA",68,"Defeated DJ Z, Tigre Uno and Manik in a four-way match to win the vacant championship. Aired on tape delay on November 19, 2014.",IMPACT,,3,X_Division_Championship,,
77,Austin Aries,"January 7, 2015",1,,,,Impact,"New York, NY",69,,IMPACT,,6,X_Division_Championship,,
78,Low Ki,"January 8, 2015",23,,,,Impact,"New York, NY",70,"This episode aired on tape delay on January 16, 2015.",IMPACT,,4,X_Division_Championship,,
79,Rockstar Spud,"January 31, 2015",43,,,,Impact,"London, England",71,"Spud invoked his Feast or Fired championship opportunity. This episode aired on tape delay on March 20, 2015.",IMPACT,,1,X_Division_Championship,,
80,Kenny King,"March 15, 2015",56,,,,Impact: Hardcore Justice,"Orlando, FL",72,"This was a four-way ladder match also involving Tigre Uno and Mandrews. This episode aired on tape delay on May 1, 2015.",IMPACT,,2,X_Division_Championship,,
81,Rockstar Spud,"May 10, 2015",<1,,,,Impact,"Orlando, FL",73,"This was a gauntlet match featuring Argos, Crazzy Steve, Mandrews, Suicide/Manik, Tigre Uno and Zema Ion. This episode aired on tape delay on May 29, 2015",IMPACT,,2,X_Division_Championship,,
82,Vacated,"May 10, 2015",—,,,,Impact,"Orlando, FL",—,"Rockstar Spud invoked Option C and vacated the championship in exchange for an opportunity to wrestle for the TNA World Heavyweight Championship. This episode aired on tape delay on June 10, 2015.",IMPACT,,—,X_Division_Championship,,
83,Tigre Uno,"June 24, 2015",199,,,,Impact,"Orlando, FL",74,Defeated Grado and Low Ki in a three-way elimination match to win the vacant championship.,IMPACT,,1,X_Division_Championship,,
84,Trevor Lee,"January 9, 2016",155,,,,Impact,"Bethlehem, PA",75,"This episode aired on tape delay on February 2, 2016.",IMPACT,,1,X_Division_Championship,,
85,Eddie Edwards,"June 12, 2016",2,,,,Slammiversary,"Orlando, FL",76,This was a four-way match also involving Andrew Everett and DJ Z.,IMPACT,[72],1,X_Division_Championship,,
86,Mike Bennett,"June 14, 2016",1,,,,Impact,"Orlando, FL",77,"This episode aired on tape delay on June 21, 2016.",IMPACT,[73],1,X_Division_Championship,,
87,Eddie Edwards,"June 15, 2016",28,,,,Impact,"Orlando, FL",78,"This was an Ultimate X match that also included Andrew Everett, Braxton Sutter, DJ Z, Mandrews, Rockstar Spud and Trevor Lee. This episode aired on tape delay on July 5, 2016.",IMPACT,[74],2,X_Division_Championship,,
88,Lashley,"July 13, 2016",30,,,,Impact,"Orlando, FL",79,"This was a Winner Takes All Six Sides of Steel for both Edwards's X Division Championship and Lashley's TNA World Heavyweight Championship. This episode aired on tape delay on July 21, 2016.",IMPACT,,1,X_Division_Championship,,
89,Vacated,"August 12, 2016",—,,,,Impact,"Orlando, FL",—,"Lashley unified the TNA King of the Mountain Championship with his TNA World Heavyweight Championship and vacated the X Division Championship. This episode aired on tape delay on August 18, 2016.",IMPACT,[75],—,X_Division_Championship,,
90,DJZ,"August 13, 2016",148,,,,Impact,"Orlando, FL",80,"This was an Ultimate X gauntlet match that also included Andrew Everett, Braxton Sutter, Mandrews, Rockstar Spud and Trevor Lee. This episode aired on tape delay on September 1, 2016. DJZ was originally known as Zema Ion.",IMPACT,[76],2,X_Division_Championship,,
91,Trevor Lee,"January 8, 2017",102,,,,Impact,"Orlando, FL",81,"Lee invoked his Race for the Case for a championship opportunity on Open Fight Night. This was a ladder match. This episode aired on tape delay on February 2, 2017. On March 2, 2017, the championship was renamed to the Impact Wrestling X Division Championship following the renaming of the promotion.",IMPACT,[77][78],2,X_Division_Championship,,
92,Impact Wrestling X Division Championship,Impact Wrestling X Division Championship,Impact Wrestling X Division Championship,,,,Impact Wrestling X Division Championship,Impact Wrestling X Division Championship,Impact Wrestling X Division Championship,Impact Wrestling X Division Championship,IMPACT,Impact Wrestling X Division Championship,Impact Wrestling X Division Championship,X_Division_Championship,Impact Wrestling X Division Championship,Impact Wrestling X Division Championship
93,Low-Ki,"April 20, 2017",40,,,,Impact!,"Orlando, FL",82,"This was a six-pack challenge that also included Andrew Everett, Dezmond Xavier, Sonjay Dutt and Suicide.",IMPACT,[79],5,X_Division_Championship,,
94,GFW X Division Championship / Impact X Division Championship,GFW X Division Championship / Impact X Division Championship,GFW X Division Championship / Impact X Division Championship,,,,GFW X Division Championship / Impact X Division Championship,GFW X Division Championship / Impact X Division Championship,GFW X Division Championship / Impact X Division Championship,GFW X Division Championship / Impact X Division Championship,IMPACT,GFW X Division Championship / Impact X Division Championship,GFW X Division Championship / Impact X Division Championship,X_Division_Championship,GFW X Division Championship / Impact X Division Championship,GFW X Division Championship / Impact X Division Championship
95,Sonjay Dutt,"May 30, 2017",81,,,,Impact!,"Mumbai, India",83,"During his reign, the championship was renamed GFW X Division Championship. This episode aired on tape delay on June 15, 2017.",IMPACT,,1,X_Division_Championship,,
96,Trevor Lee,"August 19, 2017",82,,,,Impact!,"Orlando, FL",84,"This was a falls count anywhere match. During Lee's reign the championship was renamed Impact X Division Championship. This episode aired on tape delay on September 14, 2017.",IMPACT,,3,X_Division_Championship,,
97,Taiji Ishimori,"November 9, 2017",64,,,,Impact!,"Ottawa, ON",85,"This episode aired on tape delay on January 4, 2018.",IMPACT,,1,X_Division_Championship,,
98,Matt Sydal,"January 12, 2018",191,,,,Impact! Crossroads,"Orlando, FL",86,"Sydal's Impact Grand Championship was also on the line. This episode aired on tape delay on March 8, 2018.",IMPACT,,1,X_Division_Championship,,
99,Brian Cage,"July 22, 2018",112,,,,Slammiversary XVI,"Toronto, ON",87,,IMPACT,[80],1,X_Division_Championship,,
100,Vacated,"November 11, 2018",—,,,,Impact!,"Las Vegas, NV",—,Brian Cage invoked Option C and challenged Johnny Impact for the Impact World Championship at Homecoming.,IMPACT,,—,X_Division_Championship,,
101,Rich Swann,"January 6, 2019",194,,,,Homecoming,"Nashville, TN",88,"Defeated Ethan Page, Jake Crist, and Trey Miguel in an Ultimate X match to win the vacant championship.",IMPACT,[81],1,X_Division_Championship,,
102,Jake Crist,"July 19, 2019",93,,,,Impact!,"Windsor, ON",89,"This episode aired on tape delay on July 26, 2019",IMPACT,[82],1,X_Division_Championship,,
103,Ace Austin,"October 20, 2019",Between 171 and 173,,,,Bound for Glory,"Villa Park, IL",90,"This was an Intergender ladder match also involving Acey Romero, Daga, and Tessa Blanchard. The match where he lost the title took place during the TV tapings between April 8 and 10.[83]",IMPACT,[84],1,X_Division_Championship,,
104,Willie Mack,"Between April 8 and April 10, 2020",Between 99 and 101,,,,Rebellion,"Nashville, TN",91,"The match took place during the TV tapings between April 8 and 10.[83] Aired on tape delay on April 21, 2020.",IMPACT,[85],1,X_Division_Championship,,
105,Chris Bey,"July 18, 2020",27,,,,Slammiversary,"Nashville, TN",92,,IMPACT,[86],1,X_Division_Championship,,
106,Rohit Raju,"August 14, 2020",120,,,,EmergenceNight 1,"Nashville, TN",93,"This was a triple threat match also involving TJP. Aired on tape delay on August 18, 2020.",IMPACT,,1,X_Division_Championship,,
107,Manik/TJP,"December 12, 2020",91,,,,Final Resolution,"Nashville, TN",94,"This was the third reign for the Suicide/Manik character and the second reign for T.J. Perkins. During the reign, Perkins unmasked and worked as TJP.",IMPACT,[87],3(2),X_Division_Championship,,
108,Ace Austin,"March 13, 2021",43,,,,Sacrifice,"Nashville, TN",95,,IMPACT,[88],2,X_Division_Championship,,
109,Josh Alexander,"April 25, 2021",151,,,,Rebellion,"Nashville, TN",96,This was a triple threat match also involving TJP.,IMPACT,[89],1,X_Division_Championship,,
110,Vacated,"September 23, 2021",—,,,,Impact!,"Nashville, TN",—,Josh Alexander invoked Option C and vacated the championship in exchange for an opportunity to wrestle for the Impact World Championship.,IMPACT,[90],—,X_Division_Championship,,
111,Trey Miguel,"October 23, 2021",127+,,,,Bound for Glory,"Sunrise Manor, NV",97,Defeated Steve Maclin and El Phantasmo in a tournament final triple threat match to win the vacant championship.,IMPACT,[91],1,X_Division_Championship,,
0,Jordynne Grace,"October 23, 2021",90,,,,Bound for Glory,"Sunrise Manor, NV",1,"Defeated Chelsea Green, Crazzy Steve, Fallah Bahh, John Skyler, and Madison Rayne in a tournament final intergender six-way match to become the inaugural champion.",IMPACT,[10],1,Impact_Digital_Media_Championship,,
1,Matt Cardona,"January 21, 2022",35+,,,,Impact!,"Pembroke Pines, FL",2,"The episode aired on tape delay on February 3, 2022.",IMPACT,[11],1,Impact_Digital_Media_Championship,,
0,TNA Knockouts Championship,TNA Knockouts Championship,TNA Knockouts Championship,,,,TNA Knockouts Championship,TNA Knockouts Championship,TNA Knockouts Championship,TNA Knockouts Championship,IMPACT,TNA Knockouts Championship,TNA Knockouts Championship,Impact_Knockouts_World_Champions,TNA Knockouts Championship,TNA Knockouts Championship
1,Gail Kim,"October 14, 2007",85,,,,Bound for Glory,"Duluth, GA",1,"Kim defeated Roxxi Laveaux in the finals of a ten woman gauntlet match also involving Ms. Brooks, Miss Jackie Moore, Shelly Martinez, Awesome Kong, Christy Hemme, ODB, Angel Williams, and Talia Madison to become the inaugural champion.",IMPACT,[1],1,Impact_Knockouts_World_Champions,,
2,Awesome Kong,"January 7, 2008",169,,,,TNA Impact!,"Orlando, FL",2,"This episode aired on tape delay on January 10, 2008.",IMPACT,[4],1,Impact_Knockouts_World_Champions,,
3,Taylor Wilde,"June 24, 2008",121,,,,TNA Impact!,"Orlando, FL",3,"This episode aired on tape delay on July 10, 2008.",IMPACT,[5],1,Impact_Knockouts_World_Champions,,
4,Awesome Kong,"October 23, 2008",178,,,,TNA Impact!,"Las Vegas, NV",4,,IMPACT,[6],2,Impact_Knockouts_World_Champions,,
5,Angelina Love,"April 19, 2009",67,,,,Lockdown,"Philadelphia, PA",5,This was a three-way six sides of steel cage match also involving Taylor Wilde. Love pinned Wilde to win the title.,IMPACT,[7],1,Impact_Knockouts_World_Champions,,
6,Tara,"June 25, 2009",24,,,,TNA Impact!,"Orlando, FL",6,"This episode aired on tape delay on July 9, 2009.",IMPACT,[8],1,Impact_Knockouts_World_Champions,,
7,Angelina Love,"July 19, 2009",28,,,,Victory Road,"Orlando, FL",7,,IMPACT,[9],2,Impact_Knockouts_World_Champions,,
8,ODB,"August 16, 2009",11,,,,Hard Justice,"Orlando, FL",8,This was a tag team match where ODB teamed with Cody Deaner and Angelina Love with Velvet Sky. Deaner pinned Sky to win the championship for ODB.,IMPACT,[10],1,Impact_Knockouts_World_Champions,,
9,Vacated,"August 27, 2009",—,,,,TNA Impact!,"Orlando, FL",—,The championship was declared vacant and held up because Cody Deaner felt that he was the rightful champion as he was the one who scored the pin at Hard Justice.,IMPACT,[11],—,Impact_Knockouts_World_Champions,,
10,ODB,"September 20, 2009",91,,,,No Surrender,"Orlando, FL",9,ODB defeated Cody Deaner in an intergender match to win the vacant title.,IMPACT,[12],2,Impact_Knockouts_World_Champions,,
11,Tara,"December 20, 2009",15,,,,Final Resolution,"Orlando, FL",10,,IMPACT,[13],2,Impact_Knockouts_World_Champions,,
12,ODB,"January 4, 2010",13,,,,TNA Impact!,"Orlando, FL",11,,IMPACT,[14],3,Impact_Knockouts_World_Champions,,
13,Tara,"January 17, 2010",78,,,,Genesis,"Orlando, FL",12,This was a two out of three falls match.,IMPACT,[15],3,Impact_Knockouts_World_Champions,,
14,Angelina Love,"April 5, 2010",13,,,,TNA Impact!,"Orlando, FL",13,"Love, Tara, Daffney, and Velvet Sky were the four winners in a Lockbox eight Knockout elimination tag team match, each earning a key to a box containing an unknown prize. Love won the key containing the Knockouts Championship, therefore winning the title; Tara won her pet tarantula Poison and Sky won an open match contract, while Daffney's box resulted in her being forced her to perform a striptease.",IMPACT,[16],3,Impact_Knockouts_World_Champions,,
15,Madison Rayne,"April 18, 2010",84,,,,Lockdown,"St. Charles, MO",14,This was a steel cage tag team match in which Rayne and Velvet Sky competed against Angelina Love and Tara. Rayne pinned Tara to win the title.,IMPACT,[17],1,Impact_Knockouts_World_Champions,,
16,Angelina Love,"July 11, 2010",2,,,,Victory Road,"Orlando, FL",15,"Love defeated Madison Rayne via disqualification in a title vs. career match when a masked woman attacked Angelina. According to a stipulation that the title would change hands if either Velvet Sky or Lacey von Erich interfered, Angelina Love would win the title.",IMPACT,[18],4,Impact_Knockouts_World_Champions,,
17,Madison Rayne,"July 13, 2010",27,,,,TNA Impact!,"Orlando, FL",16,"The Championship was returned to Rayne, after she threatened to sue TNA due to the controversial finish to the match at Victory Road. This episode aired on tape delay on July 22, 2010.",IMPACT,[19][20],2,Impact_Knockouts_World_Champions,,
18,Angelina Love,"August 9, 2010",62,,,,TNA Impact!: The Whole F'n Show,"Orlando, FL",17,"This episode aired on tape delay on August 12, 2010.",IMPACT,[21][22],5,Impact_Knockouts_World_Champions,,
19,Tara,"October 10, 2010",1,,,,Bound for Glory,"Daytona Beach, FL",18,This was a four-way match also involving Madison Rayne and Velvet Sky. Tara pinned Sky to win the title. Mickie James served as special guest referee.,IMPACT,[23],4,Impact_Knockouts_World_Champions,,
20,Madison Rayne,"October 11, 2010",188,,,,TNA Impact!,"Orlando, FL",19,"This episode aired on tape delay on October 14, 2010.",IMPACT,[24][25],3,Impact_Knockouts_World_Champions,,
21,Mickie James,"April 17, 2011",112,,,,Lockdown,"Cincinnati, OH",20,This was a title vs. hair six sides of steel match .,IMPACT,[26],1,Impact_Knockouts_World_Champions,,
22,Winter,"August 7, 2011",18,,,,Hardcore Justice,"Orlando, FL",21,,IMPACT,[27],1,Impact_Knockouts_World_Champions,,
23,Mickie James,"August 25, 2011",17,,,,Impact Wrestling,"Huntsville, AL",22,"This episode aired on tape delay on September 1, 2011.",IMPACT,[28][29],2,Impact_Knockouts_World_Champions,,
24,Winter,"September 11, 2011",35,,,,No Surrender,"Orlando, FL",23,,IMPACT,[30],2,Impact_Knockouts_World_Champions,,
25,Velvet Sky,"October 16, 2011",28,,,,Bound for Glory,"Philadelphia, PA",24,"This was a fatal four-way match also involving Madison Rayne and Mickie James. Sky pinned James to win the title. Karen Jarrett served as special guest referee; however, Traci Brooks acted as an enforcer and counted Velvet's pin.",IMPACT,[31],1,Impact_Knockouts_World_Champions,,
26,Gail Kim,"November 13, 2011",210,,,,Turning Point,"Orlando, FL",25,,IMPACT,[32],2,Impact_Knockouts_World_Champions,,
27,Miss Tessmacher,"June 10, 2012",63,,,,Slammiversary,"Arlington, TX",26,,IMPACT,[33],1,Impact_Knockouts_World_Champions,,
28,Madison Rayne,"August 12, 2012",4,,,,Hardcore Justice,"Orlando, FL",27,,IMPACT,[34],4,Impact_Knockouts_World_Champions,,
29,Miss Tessmacher,"August 16, 2012",59,,,,Impact Wrestling,"Orlando, FL",28,,IMPACT,[35],2,Impact_Knockouts_World_Champions,,
30,Tara,"October 14, 2012",104,,,,Bound for Glory,"Phoenix, AZ",29,,IMPACT,[36],5,Impact_Knockouts_World_Champions,,
31,Velvet Sky,"January 26, 2013",117,,,,Impact Wrestling,"London, England",30,"This was a four-way elimination match also involving Brooke and Gail Kim. Sky pinned Kim to win the title. This episode aired on tape delay on February 21, 2013.",IMPACT,[37],2,Impact_Knockouts_World_Champions,,
32,Mickie James,"May 23, 2013",112,,,,Impact Wrestling,"Tampa, FL",31,,IMPACT,[38],3,Impact_Knockouts_World_Champions,,
33,ODB,"September 12, 2013",38,,,,Impact Wrestling: No Surrender,"St. Louis, MO",32,"This episode aired on tape delay on September 19, 2013.",IMPACT,[39],4,Impact_Knockouts_World_Champions,,
34,Gail Kim,"October 20, 2013",88,,,,Bound for Glory,"San Diego, CA",33,This was a three-way match also involving Brooke. Kim pinned Brooke to win the title.,IMPACT,[40],3,Impact_Knockouts_World_Champions,,
35,Madison Rayne,"January 16, 2014",101,,,,Impact Wrestling: Genesis,"Huntsville, AL",34,,IMPACT,[41],5,Impact_Knockouts_World_Champions,,
36,Angelina Love,"April 27, 2014",54,,,,Sacrifice,"Orlando, FL",35,,IMPACT,[42],6,Impact_Knockouts_World_Champions,,
37,Gail Kim,"June 20, 2014",88,,,,Impact Wrestling,"Bethlehem, PA",36,"This episode aired on tape delay on July 3, 2014.",IMPACT,[43],4,Impact_Knockouts_World_Champions,,
38,Havok,"September 16, 2014",3,,,,Impact Wrestling,"Bethlehem, PA",37,"This episode aired on tape delay on October 1, 2014.",IMPACT,[44],1,Impact_Knockouts_World_Champions,,
39,Taryn Terrell,"September 19, 2014",279,,,,Impact Wrestling,"Bethlehem, PA",38,"This was a three-way match also involving Gail Kim. Terrell pinned Kim to win the title. This episode aired on tape delay on November 19, 2014.",IMPACT,[45],1,Impact_Knockouts_World_Champions,,
40,Brooke,"June 25, 2015",34,,,,Impact Wrestling,"Orlando, FL",39,"This episode aired on tape delay on July 15, 2015. Brooke was formerly known as Miss Tessmacher.",IMPACT,,3,Impact_Knockouts_World_Champions,,
41,Gail Kim,"July 29, 2015",232,,,,Impact Wrestling,"Orlando, FL",40,"This was a fatal four-way match also involving Awesome Kong and Lei'D Tapa. Kim pinned Brooke to win the title. This episode aired on tape delay on September 16, 2015.",IMPACT,[46],5,Impact_Knockouts_World_Champions,,
42,Jade,"March 17, 2016",87,,,,Impact Wrestling,"Orlando, FL",41,"This was a three-way match also involving Madison Rayne. This episode aired on tape delay on April 5, 2016.",IMPACT,[47],1,Impact_Knockouts_World_Champions,,
43,Sienna,"June 12, 2016",61,,,,Slammiversary,"Orlando, FL",42,This was a three-way match also involving Gail Kim.,IMPACT,[48],1,Impact_Knockouts_World_Champions,,
44,Allie,"August 12, 2016",1,,,,Impact Wrestling: Turning Point,"Orlando, FL",43,"This was a five-way match also involving Jade, Marti Bell, and Madison Rayne. Allie pinned Rayne to win the title. This episode aired on tape delay on August 25, 2016.",IMPACT,[49][50],1,Impact_Knockouts_World_Champions,,
45,Maria Kanellis-Bennett,"August 13, 2016",50,,,,Impact Wrestling,"Orlando, FL",44,"This episode aired on tape delay on September 1, 2016.",IMPACT,[51][52],1,Impact_Knockouts_World_Champions,,
46,Gail Kim,"October 2, 2016",7,,,,Bound for Glory,"Orlando, FL",45,,IMPACT,[53],6,Impact_Knockouts_World_Champions,,
47,Vacated,"October 9, 2016",—,,,,Impact Wrestling,"Orlando, FL",—,The championship was declared vacant due to an injury that Gail Kim suffered.,IMPACT,[54],—,Impact_Knockouts_World_Champions,,
48,Rosemary,"October 9, 2016",266,,,,Impact!,"Orlando, FL",46,"Rosemary defeated Jade in a Six Sides of Steel match to win the vacant title. This episode aired on tape delay on December 1, 2016. The championship was renamed to the Impact Wrestling Knockouts Championship following the renaming of the promotion on March 2, 2017.",IMPACT,[54][55],1,Impact_Knockouts_World_Champions,,
